player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Christian McCaffrey,11763,HB,SF,6,0.8,2,88.5,0.0,0,1,0,0.0,0,13,28,1,84.9,51.4,83.1,23.2,88.9,3.8,6,0,19,11.9,19,159,0,23,79.9,127,17.6,28,120.7,26,2,8.8,14,177,169,7.3,7.7,1.39
D'Andre Swift,57212,HB,PHI,6,-0.3,5,88.5,0.0,0,1,0,4.2,1,4,24,1,72.8,64.7,70.4,24.8,52.9,0.0,0,1,11,12.2,18,147,1,23,83.7,123,9.5,14,81.9,26,1,10.2,15,115,137,6.0,5.0,0.93
Alvin Kamara,11822,HB,NO,3,-1.3,5,92.0,,0,0,0,0.0,0,4,20,0,85.3,84.5,70.1,63.9,72.6,0.0,0,0,15,21.6,21,97,0,23,72.2,70,8.2,8,81.0,25,0,4.1,4,86,121,5.3,3.7,1.23
DJ Chark Jr.,47702,WR,CAR,5,14.3,1,52.0,80.0,4,5,0,13.3,2,8,5,0,47.7,72.3,57.7,,58.6,0.0,0,0,47,0.0,0,210,0,13,92.4,194,21.0,44,104.9,25,2,79.0,166,197,41,3.2,15.2,1.02
Wan'Dale Robinson,101735,WR,NYG,4,3.4,2,88.0,50.0,1,2,1,0.0,0,10,21,0,84.5,75.6,67.3,,67.5,1.9,2,0,13,0.0,0,104,1,22,93.3,97,79.8,83,90.2,25,0,15.4,16,141,72,3.3,6.4,1.45
Mike Williams,11762,WR,LAC,3,12.4,4,76.0,71.4,5,7,0,0.0,0,9,27,0,83.2,74.5,74.6,,73.5,0.9,1,0,49,0.0,0,113,0,19,94.7,107,28.3,32,120.3,25,1,70.8,80,249,105,5.5,13.1,2.33
Tyler Conklin,47124,TE,NYJ,6,7.6,1,80.0,80.0,4,5,0,0.0,0,8,22,0,83.6,74.4,65.1,65.9,67.0,37.6,64,0,37,7.6,13,170,0,20,87.6,149,51.2,87,104.5,25,0,11.2,19,227,104,5.2,11.4,1.52
Logan Thomas,8755,TE,WAS,5,7.6,0,76.0,33.3,2,6,0,9.5,2,9,32,1,58.1,25.1,65.4,59.7,61.8,21.9,40,0,27,7.1,13,183,1,19,86.3,158,48.1,88,122.9,25,2,30.1,55,185,66,3.5,9.7,1.17
Allen Robinson II,8696,WR,PIT,5,6.7,1,68.0,60.0,3,5,0,0.0,0,4,25,0,82.2,73.6,56.2,68.0,55.2,2.4,4,0,31,1.2,2,170,0,17,94.1,160,72.4,123,81.6,25,0,25.3,43,137,35,2.1,8.1,0.86
Terrace Marshall Jr.,84271,WR,CAR,5,8.0,0,64.0,33.3,1,3,0,11.1,2,7,5,1,54.3,23.2,59.4,,58.7,0.0,0,1,14,0.0,0,146,1,16,94.5,138,26.0,38,57.4,25,0,74.0,108,112,45,2.8,7.0,0.81
Chigoziem Okonkwo,84000,TE,TEN,6,7.0,3,68.0,40.0,2,5,1,10.5,2,5,31,0,54.3,73.6,55.2,58.4,56.5,32.4,56,1,20,12.1,21,173,4,17,79.8,138,48.6,84,62.4,25,0,12.7,22,122,57,3.4,7.2,0.88
Jayden Reed,78171,WR,GB,5,13.6,0,52.0,0.0,0,5,0,13.3,2,9,12,0,52.8,79.5,66.0,62.4,66.8,0.0,0,0,44,0.8,1,133,1,13,92.5,123,73.7,98,107.1,25,2,26.3,35,210,67,5.2,16.2,1.71
Kylen Granson,40630,TE,IND,6,7.6,0,64.0,50.0,1,2,0,11.1,2,11,14,0,52.8,73.3,57.2,70.4,58.7,37.0,61,0,45,1.2,2,165,1,16,93.3,154,49.1,81,97.1,25,1,11.5,19,170,73,4.6,10.6,1.1
Rashid Shaheed,63707,WR,NO,6,18.4,2,64.0,66.7,2,3,0,5.9,1,12,20,0,67.0,51.9,70.1,,68.6,0.0,0,0,51,0.0,0,187,1,16,96.3,180,42.2,79,131.8,25,2,56.1,105,298,57,3.6,18.6,1.66
Jaylen Warren,98692,HB,PIT,5,-1.5,13,87.5,,0,0,0,4.5,1,7,25,0,71.3,43.2,61.3,17.1,72.6,2.1,2,0,30,16.5,16,97,0,21,79.4,77,5.2,5,95.5,24,0,4.1,4,166,204,9.7,7.9,2.16
George Kittle,11901,TE,SF,6,8.8,5,75.0,33.3,1,3,0,10.0,2,10,28,0,57.4,74.1,77.4,80.5,69.8,61.1,116,0,38,9.5,18,190,1,18,82.6,157,31.6,60,141.7,24,3,6.3,12,216,99,5.5,12.0,1.38
JuJu Smith-Schuster,11817,WR,NE,5,5.8,0,58.3,60.0,3,5,0,12.5,2,4,19,0,49.8,72.7,53.0,,53.9,0.0,0,1,15,0.0,0,103,1,14,94.2,97,52.4,54,48.3,24,0,47.6,49,86,33,2.4,6.1,0.89
Kadarius Toney,61245,WR,KC,6,2.3,7,70.8,0.0,0,1,0,10.5,2,8,16,1,54.3,25.5,62.5,,65.1,0.0,0,1,17,0.0,0,75,0,17,97.3,73,44.0,33,73.6,24,1,53.3,40,92,89,5.2,5.4,1.26
Dawson Knox,35883,TE,BUF,6,7.0,1,58.3,0.0,0,4,0,17.6,3,6,4,0,36.3,72.7,48.6,72.8,48.9,36.2,64,1,15,7.9,14,177,1,14,86.4,153,45.2,80,63.2,24,1,14.1,25,92,54,3.9,6.6,0.6
Parris Campbell,47940,WR,NYG,5,3.8,2,69.6,66.7,2,3,0,5.9,1,1,21,0,67.7,74.5,50.8,,50.2,0.8,1,2,17,0.0,0,118,0,16,92.4,109,79.7,94,39.2,23,0,18.6,22,85,43,2.7,5.3,0.78
Jaxon Smith-Njigba,129758,WR,SEA,5,4.2,2,69.6,0.0,0,2,0,11.1,2,4,29,0,52.8,73.3,56.0,,55.8,0.0,0,2,18,0.0,0,140,0,16,93.6,131,77.1,108,43.8,23,0,22.9,32,110,88,5.5,6.9,0.84
Michael Wilson,84423,WR,ARZ,6,15.9,1,78.3,57.1,4,7,0,5.3,1,14,1,0,69.0,73.9,71.0,68.1,71.1,0.0,0,0,69,0.5,1,185,1,18,93.5,173,28.1,52,147.7,23,2,71.9,133,317,78,4.3,17.6,1.83
Travis Etienne Jr.,57185,HB,JAX,6,-0.7,10,91.3,0.0,0,1,0,4.5,1,8,15,0,72.1,89.2,70.4,55.9,67.6,0.0,0,0,22,18.6,38,204,1,21,76.0,155,4.4,9,97.8,23,0,10.3,21,172,185,8.8,8.2,1.11
Luke Musgrave,98499,TE,GB,5,7.3,1,78.3,100.0,1,1,0,5.3,1,5,12,0,68.7,73.9,59.5,52.4,59.1,46.4,65,0,37,9.3,13,140,1,18,87.1,122,47.1,66,95.5,23,0,6.4,9,159,93,5.2,8.8,1.3
Allen Lazard,48135,WR,NYJ,6,13.5,1,60.9,50.0,4,8,0,17.6,3,12,22,0,36.0,72.7,60.5,74.9,60.5,0.5,1,0,39,1.0,2,208,2,14,93.3,194,18.8,39,105.3,23,1,80.8,168,210,35,2.5,15.0,1.08
Kyren Williams,97118,HB,LA,6,0.7,2,56.5,,0,0,0,18.8,3,5,26,0,33.8,67.9,74.4,58.9,41.9,0.0,0,1,20,16.3,38,233,1,13,80.7,188,6.0,14,65.3,23,1,6.0,14,109,134,10.3,8.4,0.58
DeVante Parker,9447,WR,NE,5,11.4,2,59.1,50.0,4,8,0,7.1,1,6,19,0,64.4,72.7,60.4,,59.3,0.0,0,1,22,0.0,0,174,0,13,96.0,167,10.9,19,58.1,22,0,89.1,155,136,40,3.1,10.5,0.81
Rondale Moore,62890,WR,ARZ,6,2.5,2,68.2,50.0,1,2,0,11.8,2,6,1,0,53.1,76.3,53.2,,51.0,0.0,0,0,31,0.0,0,174,0,15,92.5,161,69.5,121,79.9,22,0,21.8,38,111,92,6.1,7.4,0.69
Calvin Austin III,61418,WR,PIT,5,11.9,4,54.5,60.0,3,5,0,7.7,1,4,25,0,62.1,78.5,60.7,,59.3,0.0,0,1,72,0.0,0,144,0,12,95.8,138,26.4,38,70.8,22,1,73.6,106,143,57,4.8,11.9,1.04
Cooper Kupp,11824,WR,LA,2,11.6,4,68.2,66.7,2,3,0,0.0,0,12,26,0,81.1,73.0,89.2,,89.8,0.0,0,0,49,0.0,0,71,0,15,97.2,69,52.1,37,124.4,22,1,47.9,34,266,104,6.9,17.7,3.86
David Njoku,11784,TE,CLV,5,3.5,5,86.4,100.0,3,3,0,0.0,0,6,8,1,84.1,24.6,62.1,63.4,60.0,54.9,101,0,29,7.1,13,184,0,19,85.9,158,39.1,72,97.3,22,0,5.4,10,162,122,6.4,8.5,1.03
Nick Westbrook-Ikhine,47861,WR,TEN,6,9.0,2,72.7,16.7,1,6,1,5.9,1,8,31,0,54.5,73.6,61.5,78.2,64.4,0.0,0,0,24,4.1,7,172,2,16,88.4,152,53.5,92,124.8,22,2,46.5,80,168,75,4.7,10.5,1.11
Michael Gallup,26075,WR,DAL,5,10.8,2,68.2,25.0,2,8,0,6.3,1,7,9,0,65.6,73.0,61.9,,62.9,0.0,0,1,28,0.0,0,151,0,15,94.0,142,6.0,9,73.9,22,0,94.0,142,179,84,5.6,11.9,1.26
Rhamondre Stevenson,98689,HB,NE,6,-0.1,4,77.3,100.0,1,1,0,10.5,2,4,19,0,54.3,86.7,67.9,90.5,46.5,0.0,0,0,32,15.7,26,166,0,17,81.9,136,10.2,17,87.5,22,0,10.2,17,111,118,6.9,6.5,0.82
Alec Pierce,78038,WR,IND,6,15.9,0,50.0,40.0,4,10,0,0.0,0,9,14,0,78.7,71.5,55.4,,55.1,0.0,0,0,38,0.0,0,233,2,11,93.6,218,9.4,22,72.0,22,0,90.6,211,149,20,1.8,13.5,0.68
Tony Pollard,27126,HB,DAL,5,0.0,1,90.5,50.0,1,2,0,0.0,0,5,9,1,83.2,39.0,65.4,73.8,58.7,0.0,0,0,26,21.3,30,141,0,19,74.5,105,4.3,6,85.7,21,0,5.7,8,96,98,5.2,5.1,0.91
Hayden Hurst,47294,TE,CAR,6,7.6,1,66.7,50.0,2,4,0,0.0,0,6,5,0,81.1,73.0,47.6,74.6,57.2,35.2,64,1,16,1.1,2,182,2,14,90.7,165,45.6,83,76.7,21,1,18.7,34,116,40,2.9,8.3,0.7
Miles Sanders,40555,HB,CAR,5,0.8,6,71.4,0.0,0,1,0,6.3,1,4,5,0,67.7,29.6,55.5,31.6,75.7,0.0,0,0,14,10.9,14,128,0,15,82.8,106,3.1,4,77.7,21,0,11.7,15,81,89,5.9,5.4,0.76
Braxton Berrios,47961,WR,MIA,6,9.0,0,81.0,50.0,1,2,0,5.6,1,12,17,0,67.7,83.2,70.1,65.3,70.5,0.0,0,1,22,0.9,1,117,1,17,95.7,112,61.5,72,98.2,21,1,38.5,45,179,55,3.2,10.5,1.6
Joshua Palmer,62979,WR,LAC,4,14.9,1,52.4,60.0,3,5,0,8.3,1,4,27,1,60.2,20.4,55.7,,55.7,0.0,0,1,51,0.0,0,128,0,11,96.9,124,29.7,38,73.5,21,1,70.3,90,160,36,3.3,14.5,1.29
Mack Hollins,11873,WR,ATL,6,14.6,0,57.1,50.0,2,4,0,0.0,0,7,2,0,79.4,71.9,62.8,66.1,63.0,0.7,1,0,45,0.7,1,135,0,12,95.6,129,27.4,37,86.2,21,0,71.9,97,184,30,2.5,15.3,1.43
Tyjae Spears,97195,HB,TEN,6,1.1,9,75.0,0.0,0,1,0,0.0,0,5,31,0,81.7,82.5,74.7,86.8,72.8,2.2,3,0,48,18.7,25,134,1,15,73.1,98,9.0,12,87.7,20,0,10.4,14,111,124,8.3,7.4,1.13
Skyy Moore,97116,WR,KC,6,9.7,2,55.0,50.0,1,2,0,0.0,0,7,16,0,79.4,73.5,60.6,,61.5,1.3,2,2,54,0.0,0,156,0,11,96.2,150,39.1,61,55.2,20,1,59.0,92,145,54,4.9,13.2,0.97
Mike Gesicki,47153,TE,NE,6,9.3,0,75.0,50.0,2,4,0,0.0,0,7,19,0,81.7,73.3,67.3,70.3,68.4,11.0,15,0,18,1.5,2,136,0,15,94.1,128,75.0,102,94.4,20,0,14.0,19,143,57,3.8,9.5,1.12
Joe Mixon,11803,HB,CIN,6,-2.4,2,80.0,,0,0,1,11.1,2,2,7,0,52.8,88.1,63.4,45.8,56.0,0.0,0,0,32,16.9,30,177,2,16,79.1,140,5.1,9,88.3,20,0,6.2,11,104,143,8.9,6.5,0.74
Nelson Agholor,9453,WR,BLT,6,13.3,2,80.0,75.0,3,4,1,5.9,1,10,3,1,66.7,26.3,66.9,36.3,67.7,3.0,4,0,30,0.7,1,135,1,16,93.3,126,63.7,86,127.1,20,1,33.3,45,210,58,3.6,13.1,1.67
Brandin Cooks,8655,WR,DAL,4,12.6,2,47.4,20.0,1,5,0,0.0,0,6,9,1,77.3,23.5,56.4,,57.1,0.0,0,3,16,0.0,0,118,0,9,94.9,112,28.8,34,18.0,19,0,71.2,84,73,12,1.3,8.1,0.65
Raheem Mostert,9783,HB,MIA,6,-1.1,10,94.7,100.0,2,2,0,0.0,0,5,17,2,82.7,26.6,89.5,75.2,61.0,0.8,1,0,22,7.5,10,133,0,18,88.7,118,16.5,22,133.6,19,2,13.5,18,145,167,9.3,8.1,1.23
Isiah Pacheco,83747,HB,KC,6,-1.8,5,89.5,,0,0,0,0.0,0,4,16,0,82.2,87.3,78.0,42.3,71.3,0.8,1,0,33,17.1,21,123,0,17,79.7,98,1.6,2,96.3,19,0,5.7,7,135,172,10.1,7.9,1.38
Samaje Perine,11869,HB,DEN,6,-0.3,9,94.4,,0,0,0,0.0,0,7,10,1,82.2,33.0,56.2,42.0,59.7,0.8,1,0,29,14.3,17,119,0,17,79.8,95,5.9,7,109.3,18,0,8.4,10,184,184,10.8,10.8,1.94
Dalton Kincaid,91791,TE,BUF,5,4.2,3,94.4,0.0,0,1,0,0.0,0,4,4,0,82.2,73.6,56.6,70.2,58.1,21.8,31,0,14,0.7,1,142,3,17,93.7,133,56.3,80,94.0,18,0,21.1,30,118,59,3.5,6.9,0.89
Van Jefferson,47447,WR,ATL,6,19.4,0,47.1,25.0,1,4,0,20.0,2,4,2,0,38.4,71.3,51.1,,53.1,0.0,0,3,46,0.0,0,187,1,8,94.7,177,48.1,90,28.7,17,0,51.9,97,110,9,1.1,13.8,0.62
Jahmyr Gibbs,122474,HB,DET,4,1.0,0,82.4,100.0,1,1,0,12.5,2,4,11,0,49.6,82.4,62.1,15.6,60.7,0.0,0,1,10,5.8,4,69,0,14,88.4,61,15.9,11,59.3,17,0,17.4,12,70,56,4.0,5.0,1.15
Demario Douglas,104155,WR,NE,5,12.2,1,58.8,33.3,1,3,0,9.1,1,6,19,1,58.9,25.3,69.1,,69.4,0.0,0,0,42,0.0,0,63,0,10,100.0,63,84.1,53,86.2,17,0,14.3,9,143,58,5.8,14.3,2.27
Rachaad White,131633,HB,TB,5,-1.4,7,94.1,0.0,0,1,0,0.0,0,3,30,1,81.7,58.9,71.1,66.9,53.6,0.0,0,0,16,15.5,25,161,0,16,80.7,130,7.5,12,90.7,17,0,9.9,16,98,134,8.4,6.1,0.75
Kalif Raymond,11028,WR,DET,6,12.1,3,82.4,0.0,0,2,0,0.0,0,8,11,0,80.6,83.2,78.5,,76.3,0.0,0,0,36,0.0,0,86,0,14,98.8,85,51.2,44,132.1,17,1,46.5,40,187,48,3.4,13.4,2.2
Zay Jones,11792,WR,JAX,3,13.3,0,47.1,50.0,2,4,0,11.1,1,4,15,0,54.5,70.1,61.3,66.2,62.8,0.0,0,0,18,1.1,1,93,0,8,94.6,88,35.5,33,99.6,17,2,64.5,60,78,11,1.4,9.8,0.89
James Cook,83666,HB,BUF,6,1.8,2,82.4,0.0,0,1,0,6.7,1,5,4,0,64.7,86.2,71.3,16.5,54.1,0.0,0,0,48,11.8,16,136,0,14,85.3,116,10.3,14,101.0,17,0,8.8,12,140,138,9.9,10.0,1.21
Antonio Gibson,78050,HB,WAS,6,1.1,5,76.5,100.0,1,1,0,7.1,1,7,32,1,63.2,18.0,55.3,69.0,56.5,0.0,0,1,41,15.3,25,163,0,13,79.1,129,3.1,5,93.5,17,1,6.1,10,133,113,8.7,10.2,1.03
Justin Watson,66915,WR,KC,6,23.6,0,58.8,75.0,3,4,0,9.1,1,7,16,1,58.5,19.8,63.2,,65.1,0.0,0,1,37,0.0,0,136,0,10,94.1,128,31.6,43,78.7,17,0,67.6,92,219,19,1.9,21.9,1.71
Zack Moss,40341,HB,IND,5,0.3,3,82.4,,0,0,0,17.6,3,5,14,0,37.9,87.9,66.6,58.5,47.4,0.0,0,0,26,22.7,35,154,0,14,70.1,108,3.9,6,113.2,17,1,4.5,7,110,103,7.4,7.9,1.02
Cade Otton,61071,TE,TB,5,5.8,2,76.5,33.3,1,3,0,7.1,1,4,30,0,64.4,72.7,47.4,47.2,51.7,44.6,82,0,16,12.0,22,184,1,13,83.2,153,35.3,65,110.9,17,1,15.8,29,104,51,3.9,8.0,0.68
Noah Gray,60878,TE,KC,6,7.9,6,70.6,0.0,0,3,0,0.0,0,6,16,0,80.0,72.9,62.2,70.8,64.4,32.3,52,1,34,6.2,10,161,0,12,88.8,143,41.6,67,92.0,17,1,24.8,40,147,85,7.1,12.3,1.03
Darnell Mooney,48236,WR,CHI,6,12.7,1,58.8,50.0,1,2,1,9.1,1,7,6,0,58.5,71.1,57.6,,60.0,0.0,0,1,39,0.0,0,172,1,10,97.1,167,70.9,122,83.5,17,1,27.3,47,152,58,5.8,15.2,0.91
Saquon Barkley,45791,HB,NYG,3,-0.4,2,81.3,0.0,0,1,0,7.1,1,5,21,0,63.2,83.9,70.1,71.6,67.6,0.9,1,2,10,17.9,19,106,0,13,78.3,83,4.7,5,60.4,16,1,11.3,12,47,64,4.9,3.6,0.57
Jerick McKinnon,8731,HB,KC,6,0.4,3,75.0,,0,0,0,14.3,2,5,16,0,45.7,75.2,60.7,53.9,61.1,5.6,6,0,15,13.1,14,107,0,12,79.4,85,4.7,5,127.9,16,2,0.9,1,91,108,9.0,7.6,1.07
Adam Trautman,109795,TE,DEN,6,5.9,0,62.5,0.0,0,3,1,0.0,0,3,10,0,78.0,71.1,44.5,44.9,45.3,46.9,90,1,15,10.9,21,192,2,10,83.9,161,33.3,64,65.6,16,1,19.8,38,64,30,3.0,6.4,0.4
Breece Hall,97636,HB,NYJ,6,-0.2,4,81.3,100.0,1,1,0,13.3,2,4,22,0,47.7,29.8,71.4,54.1,58.1,0.0,0,0,25,13.0,12,92,0,13,82.6,76,2.2,2,96.1,16,0,6.5,6,113,113,8.7,8.7,1.49
Odell Beckham Jr.,8647,WR,BLT,4,11.3,2,60.0,75.0,3,4,0,0.0,0,5,3,0,78.0,71.1,65.4,,65.1,0.0,0,1,32,0.0,0,110,1,9,90.0,99,6.4,7,55.7,15,0,93.6,103,113,35,3.9,12.6,1.14
Jerome Ford,83601,HB,CLV,5,2.9,0,80.0,100.0,1,1,0,14.3,2,4,8,0,47.7,57.5,66.5,45.2,54.6,3.5,4,0,19,12.3,14,114,0,12,80.7,92,9.6,11,129.6,15,2,9.6,11,84,51,4.3,7.0,0.91
Rashod Bateman,84296,WR,BLT,5,9.7,0,66.7,0.0,0,1,1,9.1,1,3,3,0,58.5,71.1,51.6,,53.1,0.9,1,1,18,0.0,0,106,1,10,95.3,101,17.0,18,52.6,15,0,82.1,87,82,16,1.6,8.2,0.81
Deven Thompkins,84480,WR,TB,5,7.7,2,66.7,0.0,0,2,0,0.0,0,4,30,0,78.0,29.2,66.4,,66.0,1.4,1,0,26,0.0,0,70,1,10,95.7,67,64.3,45,96.2,15,1,34.3,24,59,40,4.0,5.9,0.88
Trey Palmer,99248,WR,TB,5,16.2,0,53.3,33.3,1,3,0,0.0,0,6,30,0,76.5,70.1,59.6,,61.6,0.8,1,0,26,0.0,0,120,1,8,93.3,112,57.5,69,110.8,15,2,41.7,50,89,11,1.4,11.1,0.79
Gerald Everett,11799,TE,LAC,4,2.8,8,92.9,,0,0,0,0.0,0,8,27,1,80.0,22.0,71.6,69.9,72.6,56.7,55,0,29,13.4,13,97,0,13,84.5,82,27.8,27,98.5,14,0,11.3,11,107,75,5.8,8.2,1.3
Deonte Harty,91470,WR,BUF,6,6.9,1,85.7,0.0,0,1,0,0.0,0,6,4,0,79.4,82.0,68.7,,70.5,0.0,0,1,43,0.0,0,68,0,12,92.6,63,55.9,38,91.4,14,1,36.8,25,103,64,5.3,8.6,1.63
Ezekiel Elliott,10638,HB,NE,6,-1.0,1,92.9,,0,0,0,0.0,0,1,19,1,80.6,49.9,71.7,64.3,58.0,1.1,1,0,15,18.9,17,90,0,13,77.8,70,13.3,12,84.2,14,0,4.4,4,59,78,6.0,4.5,0.84
Chuba Hubbard,57373,HB,CAR,6,-1.6,2,92.9,,0,0,0,0.0,0,3,5,0,80.0,84.0,71.9,43.3,58.0,0.0,0,0,12,23.3,34,146,0,13,71.9,105,0.0,0,84.2,14,0,2.7,4,59,80,6.2,4.5,0.56
Dontayvion Wicks,99711,WR,GB,5,12.4,2,50.0,33.3,1,3,0,0.0,0,5,12,0,75.6,69.5,61.9,,62.8,1.0,1,0,32,0.0,0,103,2,7,96.1,99,28.2,29,95.8,14,1,70.9,73,95,29,4.1,13.6,0.96
